"","Accuracy","algoritmo"
"19",99.415,"SVM"
"22",98.83,"SVM-LDA"
"6",98.246,"Rpart-LDA"
"7",98.246,"KNN"
"8",98.246,"KNN-PCA"
"15",98.246,"Naive Bayes-LDA"
"16",98.246,"GBM"
"18",98.246,"GBM-LDA"
"20",98.246,"SVM-Radial"
"9",97.661,"KNN-LDA"
"10",97.661,"C5"
"11",97.661,"C5-PCA"
"12",97.661,"C5-LDA"
"21",97.661,"SVM-PCA"
"2",97.076,"RandomForest-PCA"
"1",96.491,"RandomForest"
"13",96.491,"Naive Bayes"
"3",95.906,"RandomForest-LDA"
"5",94.152,"Rpart-PCA"
"4",93.567,"Rpart"
"14",93.567,"Naive Bayes-PCA"
"17",93.567,"GBM-PCA"
